Bank_Name,API_Abb,API_Link,API_Name,SCH_Link,SCH_Name,Perm_SCH_Table,Version,API_Name
AIB,ATM,https://api.aibgb.co.uk/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
AIB,BCH,https://api.aibgb.co.uk/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
AIB,PCA,https://api.aibgb.co.uk/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
AIB,BCA,https://api.aibgb.co.uk/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
AIB,SME,https://api.aibgb.co.uk/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
AIB,CCC,https://api.aibgb.co.uk/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
Danske,ATM,https://obp-api.danskebank.com/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
Danske,BCH,https://obp-api.danskebank.com/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
Danske,PCA,https://obp-api.danskebank.com/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
Danske,BCA,https://obp-api.danskebank.com/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
Danske,SME,https://obp-api.danskebank.com/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
Danske,CCC,https://obp-api.danskebank.com/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
Firsttrust,ATM,https://api.firsttrustbank.co.uk/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
Firsttrust,BCH,https://api.firsttrustbank.co.uk/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
Firsttrust,PCA,https://api.firsttrustbank.co.uk/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
Firsttrust,BCA,https://api.firsttrustbank.co.uk/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
Firsttrust,SME,https://api.firsttrustbank.co.uk/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
Firsttrust,CCC,https://api.firsttrustbank.co.uk/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
NBS,ATM,https://openapi.nationwide.co.uk/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
NBS,BCH,https://openapi.nationwide.co.uk/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
NBS,PCA,https://openapi.nationwide.co.uk/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
NBS,BCA,https://openapi.nationwide.co.uk/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
NBS,SME,https://openapi.nationwide.co.uk/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
NBS,CCC,https://openapi.nationwide.co.uk/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
Natwest,ATM,https://openapi.natwest.com/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
Natwest,BCH,https://openapi.natwest.com/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
Natwest,PCA,https://openapi.natwest.com/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
Natwest,BCA,https://openapi.natwest.com/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
Natwest,SME,https://openapi.natwest.com/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
Natwest,CCC,https://openapi.natwest.com/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
RBS,ATM,https://openapi.rbs.co.uk/open-banking,atms,http://localhost/sasweb/data/temp/od/ob/v2_1,atm,ATM_Schema,v2.1,atms
RBS,BCH,https://openapi.rbs.co.uk/open-banking,branches,http://localhost/sasweb/data/temp/od/ob/v2_1,branch,BCH_Schema,v2.1,branches
RBS,PCA,https://openapi.rbs.co.uk/open-banking,personal-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,personal_current_account,PCA_Schema,v2.1,personal-current-accounts
RBS,BCA,https://openapi.rbs.co.uk/open-banking,business-current-accounts,http://localhost/sasweb/data/temp/od/ob/v2_1,business_current_account,BCA_Schema,v2.1,business-current-accounts
RBS,SME,https://openapi.rbs.co.uk/open-banking,unsecured-sme-loans,http://localhost/sasweb/data/temp/od/ob/v2_1,sme_loan,SME_Schema,v2.1,unsecured-sme-loans
RBS,CCC,https://openapi.rbs.co.uk/open-banking,commercial-credit-cards,http://localhost/sasweb/data/temp/od/ob/v2_1,commercial_credit_card,CCC_Schema,v2.1,commercial-credit-cards
